epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1473.22,1.978,0.88051,2.13827,0.94569,0.90236,0.94756,0.62997,2.51264,0.93442,2.51105,0.000800577,0.000800577,0.000800577
107,1487.05,2.00516,0.90112,2.15593,0.92216,0.8926,0.93799,0.61543,2.49073,0.95526,2.57903,0.000792325,0.000792325,0.000792325
108,1500.76,1.95812,0.86725,2.12186,0.95021,0.89377,0.94265,0.62397,2.53157,0.9784,2.55616,0.000784073,0.000784073,0.000784073
109,1514.57,1.97652,0.87795,2.15206,0.93729,0.91085,0.94874,0.62728,2.49847,0.949,2.55381,0.000775822,0.000775822,0.000775822
110,1528.58,1.95282,0.86616,2.12532,0.94982,0.84221,0.93714,0.62555,2.49732,0.94662,2.53211,0.00076757,0.00076757,0.00076757
111,1542.4,1.96991,0.86918,2.13937,0.92215,0.89543,0.94501,0.62097,2.46403,0.9443,2.52994,0.000759318,0.000759318,0.000759318
112,1556.26,1.96611,0.88214,2.14555,0.92231,0.89925,0.94366,0.62328,2.5119,0.96432,2.54303,0.000751067,0.000751067,0.000751067
113,1569.89,1.93839,0.8602,2.11616,0.92383,0.91877,0.94583,0.63111,2.45997,0.9218,2.50325,0.000742815,0.000742815,0.000742815
114,1583.85,1.95547,0.86541,2.12565,0.96346,0.88532,0.95061,0.63439,2.47118,0.94505,2.54181,0.000734564,0.000734564,0.000734564
115,1597.72,1.94827,0.85967,2.12538,0.96557,0.89764,0.95239,0.62779,2.5325,0.93604,2.57516,0.000726312,0.000726312,0.000726312
116,1611.53,1.91856,0.82861,2.09545,0.93423,0.9088,0.94634,0.62686,2.51654,0.93617,2.5397,0.00071806,0.00071806,0.00071806
117,1625.45,1.94997,0.86404,2.11984,0.94709,0.89579,0.94188,0.61626,2.55119,0.96349,2.63742,0.000709809,0.000709809,0.000709809
118,1639,1.94594,0.86449,2.1185,0.9662,0.90383,0.9471,0.63124,2.46002,0.90886,2.5075,0.000701557,0.000701557,0.000701557
119,1652.82,1.90373,0.84456,2.09548,0.96181,0.88644,0.94194,0.62464,2.51954,0.94191,2.5379,0.000693305,0.000693305,0.000693305
120,1666.77,1.9161,0.84924,2.11262,0.95895,0.90372,0.94559,0.63147,2.50393,0.91624,2.52128,0.000685054,0.000685054,0.000685054
121,1680.59,1.90373,0.85384,2.09929,0.95361,0.8984,0.94285,0.61713,2.47141,0.93867,2.50971,0.000676802,0.000676802,0.000676802
122,1694.5,1.87939,0.83194,2.09845,0.92857,0.90188,0.94391,0.60931,2.51691,0.93723,2.5709,0.00066855,0.00066855,0.00066855
123,1708.32,1.87535,0.8357,2.08693,0.91996,0.86161,0.93222,0.61865,2.51455,0.95765,2.52858,0.000660299,0.000660299,0.000660299
124,1722.18,1.86731,0.81243,2.0679,0.94583,0.89258,0.94534,0.63451,2.48138,0.91791,2.54543,0.000652047,0.000652047,0.000652047
125,1736.1,1.85699,0.81078,2.07517,0.91958,0.90574,0.94135,0.61656,2.51445,0.93076,2.58258,0.000643795,0.000643795,0.000643795
126,1749.97,1.87969,0.83288,2.10469,0.96046,0.88307,0.94457,0.61685,2.49348,0.93653,2.54233,0.000635544,0.000635544,0.000635544
127,1763.85,1.86339,0.82765,2.08837,0.95796,0.86441,0.94365,0.62653,2.50348,0.93349,2.51799,0.000627292,0.000627292,0.000627292
128,1777.73,1.87627,0.83624,2.08298,0.92604,0.90662,0.94666,0.61696,2.5428,0.95975,2.55366,0.00061904,0.00061904,0.00061904
129,1791.5,1.8938,0.84738,2.10506,0.96296,0.88828,0.94611,0.61729,2.54011,0.95461,2.56615,0.000610789,0.000610789,0.000610789
130,1805.43,1.87247,0.82591,2.09552,0.94116,0.90776,0.94449,0.62172,2.52179,0.93672,2.5585,0.000602537,0.000602537,0.000602537
131,1819.24,1.83935,0.79999,2.06514,0.93142,0.90641,0.94667,0.62259,2.46919,0.94845,2.52589,0.000594286,0.000594286,0.000594286
132,1833.03,1.83821,0.81314,2.06894,0.92952,0.91346,0.94496,0.622,2.51755,0.92809,2.50621,0.000586034,0.000586034,0.000586034
133,1846.89,1.79688,0.79438,2.04541,0.94883,0.86347,0.94324,0.61295,2.5612,0.95031,2.60786,0.000577782,0.000577782,0.000577782
134,1860.8,1.8052,0.7916,2.06308,0.95736,0.9052,0.95723,0.62754,2.48867,0.92509,2.56349,0.000569531,0.000569531,0.000569531
135,1874.54,1.84224,0.81378,2.06117,0.94867,0.90925,0.95345,0.62321,2.53338,0.94783,2.56137,0.000561279,0.000561279,0.000561279
136,1888.43,1.79324,0.78536,2.04686,0.94547,0.90304,0.95044,0.61342,2.51188,0.92871,2.54217,0.000553027,0.000553027,0.000553027
137,1902.35,1.81616,0.79508,2.05237,0.93775,0.89714,0.95138,0.63036,2.52375,0.93349,2.52997,0.000544776,0.000544776,0.000544776
138,1916.09,1.82964,0.81037,2.0758,0.94686,0.89502,0.9488,0.62554,2.54131,0.94612,2.60767,0.000536524,0.000536524,0.000536524
